Model,Method,AUROC,ECE,PRR,Brier,ComputeTime
gpt_oss_120b,LexicalSimilarity,0.39488677601974165,0.3585801630728061,-0.17854092064712637,0.3792480198480567,1.666905403137207
gpt_oss_120b,Consistency,0.46565176368123096,0.23781482705791915,-0.19675052026944334,0.31638833640883796,1.666905403137207
gpt_oss_120b,SemanticEntropy,0.616834809115982,0.4596544549569872,0.07360438672742654,0.4557595869826715,1.666905403137207
gpt_oss_120b,DegMat,0.48561111917549715,0.2418965100321786,-0.12136961146060898,0.3157020726863959,1.666905403137207
gpt_oss_120b,EigValLaplacian,0.5097437944549281,0.3749692000943087,-0.03020730958810817,0.39398306506264574,1.666905403137207
gpt_oss_120b,SemanticDensity,0.5130461605457975,0.30610551043615075,-0.09302426775721429,0.3471728324090202,1.666905403137207
gpt_oss_120b,Eccentricity,0.48009507911162724,0.06392569648897467,-0.10134395330791324,0.252561051359102,1.666905403137207
gpt_oss_120b,NumSemSets,0.6250725794745247,0.2608433737292771,0.0739613723909419,0.298795180849759,1.666905403137207
gpt_oss_120b,SAR,0.46565176368123096,0.23781482705791915,-0.19675052026944334,0.31638833640883796,1.666905403137207
gpt_oss_120b,SentenceSAR,0.5781136594571056,0.3578957080501363,0.09663203837439349,0.36632548768042467,1.666905403137207
gpt_oss_120b,RSS,0.7609413557845841,0.38616650863792074,0.6671300783407387,0.3751195631907116,1.666905403137207
gpt_oss_120b,CE,0.4633655102337059,0.4492677446292776,-0.13577667175934968,0.447702042488788,1.666905403137207
gpt_oss_120b,HEF,0.716486427638264,0.30519840354633465,0.5468053502524496,0.3235815785719715,1.666905403137207
gpt_oss_20b,LexicalSimilarity,0.5432210770794019,0.2950102897197324,0.0655014415342592,0.34931992178500776,1.233980655670166
gpt_oss_20b,Consistency,0.5913049789519524,0.27537224863667087,0.19302361621996902,0.330532431602478,1.233980655670166
gpt_oss_20b,SemanticEntropy,0.6170525475395557,0.3575483027467491,0.3389235912199655,0.3664211281231983,1.233980655670166
gpt_oss_20b,DegMat,0.5913049789519524,0.2753723125949682,0.19302361621996902,0.330532431602478,1.233980655670166
gpt_oss_20b,EigValLaplacian,0.4093845260560314,0.36544665283324274,-0.18236710147196203,0.4192685402075939,1.233980655670166
gpt_oss_20b,SemanticDensity,0.6032805922485122,0.3188772420963757,0.24416790831529198,0.3494099469826854,1.233980655670166
gpt_oss_20b,Eccentricity,0.5898533894614603,0.31033242276185247,0.1857861487792115,0.3432646691799164,1.233980655670166
gpt_oss_20b,NumSemSets,0.6229496298446798,0.2861445780195784,0.34510048286760125,0.32446452443089024,1.233980655670166
gpt_oss_20b,SAR,0.5913049789519524,0.27537224863667087,0.19302361621996902,0.330532431602478,1.233980655670166
gpt_oss_20b,SentenceSAR,0.601121352881405,0.3214888747736633,0.21638351412749746,0.3444839417934418,1.233980655670166
gpt_oss_20b,RSS,0.6703803164465089,0.33371250291007115,0.440066244733403,0.3397959768772125,1.233980655670166
gpt_oss_20b,CE,0.5547067789229205,0.30141530460598487,0.05866848140128227,0.35115217401093135,1.233980655670166
gpt_oss_20b,HEF,0.6348345187980838,0.1750327194579099,0.2887076191787155,0.2800931241320268,1.233980655670166
llama-3.1-8b-instant,LexicalSimilarity,0.48011322398025835,0.2809385089702198,0.007402641466045622,0.3226609608136105,1.524120569229126
llama-3.1-8b-instant,Consistency,0.4789519523878647,0.1431806481005736,-0.04508543306856074,0.2824733257293701,1.524120569229126
llama-3.1-8b-instant,SemanticEntropy,0.42379155174916533,0.3415072440044242,-0.3324627204005299,0.4023137812304589,1.524120569229126
llama-3.1-8b-instant,DegMat,0.4789519523878647,0.1431807442960969,-0.04508543306856074,0.2824733257293701,1.524120569229126
llama-3.1-8b-instant,EigValLaplacian,0.5180722891566265,0.16408309303689986,-0.004835090076663659,0.2722847809543311,1.524120569229126
